video_id,block_index,start_sec,end_sec,n_frames,subject,attribute,feature_mode
P016_S00,32,23.8125,24.5625,3,0.9706313474404864,0.027656733989715576,whole_frame
P016_S00,33,24.5625,25.3125,3,0.9615946426035187,0.029111623764038086,whole_frame
P016_S00,34,25.3125,26.0625,3,0.967800639855469,0.028828471899032593,whole_frame
P016_S00,35,26.0625,26.8125,3,0.9706103227860714,0.028888702392578125,whole_frame
P016_S00,36,26.8125,27.5625,3,0.967621329300858,0.031046152114868164,whole_frame
P016_S00,37,27.5625,28.3125,3,0.9642284258460747,0.03064870834350586,whole_frame
P016_S00,38,28.3125,29.0625,3,0.9692428046321144,0.03192436695098877,whole_frame
P016_S00,39,29.0625,29.8125,3,0.9616526503234382,0.030661016702651978,whole_frame
P016_S00,40,29.8125,30.5625,3,0.9644336009394165,0.03204536437988281,whole_frame
P016_S00,41,30.5625,31.3125,3,0.9557359149964131,0.031226664781570435,whole_frame
P016_S00,42,31.3125,32.0625,3,0.9496459614442447,0.029937773942947388,whole_frame
P016_S00,43,32.0625,32.8125,3,0.9472449447596805,0.03089335560798645,whole_frame
P016_S00,44,32.8125,33.5625,3,0.9750036234082751,0.03162497282028198,whole_frame
P016_S00,45,33.5625,34.3125,3,0.9826172257161936,0.03213632106781006,whole_frame
P016_S00,46,34.3125,35.0625,3,0.9784925902921169,0.032298386096954346,whole_frame
P016_S00,47,35.0625,35.8125,3,0.9730294601433656,0.03359299898147583,whole_frame
P016_S00,48,35.8125,36.5625,3,0.9768625400582558,0.030856698751449585,whole_frame
P016_S00,49,36.5625,37.3125,3,0.9691116204627794,0.030972719192504883,whole_frame
P016_S00,50,37.3125,38.0625,3,0.9284058874886498,0.02836933732032776,whole_frame
P016_S00,51,38.0625,38.8125,3,0.9200215038741562,0.03127911686897278,whole_frame
P016_S00,52,38.8125,39.5625,3,0.9033780037436423,0.034373939037323,whole_frame
P016_S00,53,39.5625,40.3125,3,0.8685240618171206,0.035783588886260986,whole_frame
P016_S00,54,40.3125,41.0625,3,0.8564513725016107,0.039860934019088745,whole_frame
P016_S00,55,41.0625,41.8125,3,0.8386729534711216,0.03506752848625183,whole_frame
P016_S00,56,41.8125,42.5625,3,0.7980646452848092,0.03520116209983826,whole_frame
P016_S00,57,42.5625,43.3125,3,0.7925964398942095,0.035054296255111694,whole_frame
P016_S00,58,43.3125,44.0625,3,0.7910101003554658,0.03241795301437378,whole_frame
P016_S00,59,44.0625,44.8125,3,0.7629205105119978,0.030825555324554443,whole_frame
P016_S00,60,44.8125,45.5625,3,0.7756365526457917,0.03231853246688843,whole_frame
P016_S00,61,45.5625,46.3125,3,0.7889776619866792,0.033527225255966187,whole_frame
P016_S00,62,46.3125,47.0625,3,0.7785651351430718,0.032948821783065796,whole_frame
P016_S00,63,47.0625,47.8125,3,0.7363840060416093,0.031572237610816956,whole_frame
